key,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
produksi,17796543.16,18649071.35,17992719.78,16429615.02,17278810.1,15581383.22,12177305.85,12014826.98,14413103.84,18116633.36,21127121.43,19482453.3,18767239.36,17142885.35,20281114.55,19669721.71,19108462.05,17287385.85,17281606.17,16725214.05,16381314.64
ekspor,10683003.15,12138416.63,10377933.29,8811640.331,8369281.788,8655589.004,2469559.571,2288948.871,856986.5626,754111.6898,2378.3634,652694.5236,1747.543,2438.0356,4117.3818,3341.6432,4944.268,3068.856,3699.6764,3895.7422,2395.4126
impor,0,0,0,947747.9788,281260.6524,188956.2836,588171.8262,1174348.896,3537709,7818515.907,13826551.69,16979076.64,21939507.28,28129543.28,30722735.12,34316629.76,38155504.35,46560802.58,47452799.67,48715471.95,54531542.27
konsumsi,7113540.011,6510654.725,7614786.491,8565722.67,9190788.965,7114750.504,10295918.11,10900227,17093826.28,25181037.58,34951294.75,35808843.94,40704999.1,45269990.6,50999732.29,53983009.83,57259022.13,63845119.57,64730706.16,65436790.26,70910461.49
fraksi_impor,0,0,0,0.110644252,0.030602449,0.026558385,0.0571267,0.107736187,0.206958287,0.310492206,0.395594835,0.474158749,0.53898803,0.621372854,0.602409733,0.635693154,0.666366678,0.729277396,0.73308021,0.744466099,0.769019706
