country,id,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Jepang,JPN,18570.1,18278.8,18611.3,18913.2,17514.7,15151.3,14313.5,13906.8,14391.7,13057.9,13132.8,12825.7,7174.1,7355.4,5672.1,6337,6547.9,6606.2,5239.2,4147.1,2112.3
Korea Selatan,KOR,5840.6,3626.2,5187.9,5125,5192.1,5526.5,5245,4035.2,3372.7,3135.9,5652.3,9383.5,8515.4,6131.6,5466.2,3938,4439.2,4040.9,3459,2480.6,2927.1
Tiongkok,CHN,2643.6,2899.6,551.2,458.3,486.9,2343.9,3447.4,3281.6,3009.8,2299,1883.7,2385.3,2248.9,2634.8,2572.3,2826.7,3008.8,2835.6,5128.6,4563.3,5345.7
Thailand,THA,0,0,0,0,26.2,31.1,33,47.2,67.5,68.4,79.4,98.6,0,0,0,68.9,1.9,205.8,269.8,205.7,217.3
Filipina,PHL,0,0,59.3,43.9,46.7,55.1,34.5,0,0,0,3.5,1.5,0,0,0,0,0,4,0,2,0
Malaysia,MYS,0,0,11,25.8,33.3,4.8,3.5,0,0,870.6,2051,1796,1766.7,1145.8,1669.9,1018.3,564.9,941.1,669.6,541.2,370.5
Australia,AUS,0,0,8.5,8,8.2,5.2,11.7,0,0,0,0,25.8,0,0,0,68.8,0,0,0,0,61.4
Singapura ,,0,29,0,0,0,0,0,0,0,2586.9,4027.7,5004.9,5476.7,5535.1,5946.8,7608.9,6562.5,7653.2,7496.2,6455.8,5823.2
Hongkong,,27,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
