country,Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Japan,JPN,74807000,77866000,61752000,61285000,52040000,43628000,42203000,45892000,37724000,25783000,23407000,39913000,49376000,43042000,32625000,26634000,18404000,11901000,9943000,160000,0
USA,USA,14153000,15349000,15864000,12051000,11930000,6256000,8950000,4464000,4740000,5264000,4779000,5729000,2149000,5872000,6811000,13648000,9943000,11986000,10235000,0,0
Korea,KOR,37408000,51965000,43977000,40822000,42111000,40108000,23723000,18051000,12289000,19394000,17607000,19546000,15601000,10096000,7586000,8481000,6619000,7466000,7122000,1765000,635000
Taiwan,TWN,9157000,8167000,7023000,5528000,6029000,2639000,7249000,3779000,1981000,2160000,1961000,1889000,300000,3257000,5272000,5244000,6525000,7543000,6172000,675000,0
Singapore,SGP,15656000,20517000,14648000,11410000,8761000,7612000,5480000,7796000,15083000,11649000,10576000,12661000,10034000,11108000,13680000,15567000,13581000,12371000,7222000,895000,4573000
Others,,72320000,67748000,74852000,57999000,57998000,59459000,47355000,55286000,63053000,67974000,76143000,33613000,29025000,31415000,27106000,45444000,70445000,51455000,33777000,22476000,26240000
