key,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
produksi,369022486.2,443268803.4,494946355.5,547391620,633966199.8,731540478,928116679.7,1039174688,1150797347,1227106990,1318036499,1692167788,1849310540,2272238858,2194283227,2210901523,2185187342,2209378801,2671732383,2951404455,2700258341
ekspor,280025756.7,312696401.9,355312265.5,410410174.6,449104680.7,530682663,688001423.4,780770000,916950744.2,950173140,996320000,1306095771,1456405325,1706954691,1829649856,1752419632,1586105218,1426180037,1707130551,2177055786,1940203238
impor,671155.64,145932.14,95924.54,183112.12,465506.57,470277.41,530171.57,323487.86,512199.49,329571.16,264551.7,203330.71,372594.94,2921301.25,11698708.01,14408003.86,18675884.28,21709755.32,26195101.74,35403713.88,41942978.77
konsumsi,93831548,119125379,122879411,164950173,151543284,173673093,205779290,258174000,224587657,236439000,282156213,334142760,345000022,302694000,319956003,364619216,380310000,407526000,483335998,581356407,553923901
fraksi_impor,0.007152772,0.00122503,0.00078064,0.001110106,0.003071773,0.002707831,0.002576409,0.001252984,0.002280622,0.001393895,0.000937607,0.000608514,0.001079985,0.009651005,0.03656349,0.039515207,0.049107003,0.053272074,0.054196463,0.060898467,0.075719749
